"index","shortname","name","unicode","unicode_encoded","aliases","image"
"1407",":track_next:","black right-pointing double triangle with vertical bar","23ed","⏭",":next_track:","!https://cdn.jsdelivr.net/emojione/assets/png/23ed.png?v=2.2.7!"
"1408",":play_pause:","black right-pointing double triangle with double vertical bar","23ef","⏯","","!https://cdn.jsdelivr.net/emojione/assets/png/23ef.png?v=2.2.7!"
"1409",":arrow_backward:","black left-pointing triangle","25c0","◀","","!https://cdn.jsdelivr.net/emojione/assets/png/25c0.png?v=2.2.7!"
"1410",":rewind:","black left-pointing double triangle","23ea","⏪","","!https://cdn.jsdelivr.net/emojione/assets/png/23ea.png?v=2.2.7!"
"1411",":track_previous:","black left-pointing double triangle with vertical bar","23ee","⏮",":previous_track:","!https://cdn.jsdelivr.net/emojione/assets/png/23ee.png?v=2.2.7!"
"1412",":arrow_up_small:","up-pointing small red triangle","1f53c","🔼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f53c.png?v=2.2.7!"
"1413",":arrow_double_up:","black up-pointing double triangle","23eb","⏫","","!https://cdn.jsdelivr.net/emojione/assets/png/23eb.png?v=2.2.7!"
"1414",":arrow_down_small:","down-pointing small red triangle","1f53d","🔽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f53d.png?v=2.2.7!"
"1415",":arrow_double_down:","black down-pointing double triangle","23ec","⏬","","!https://cdn.jsdelivr.net/emojione/assets/png/23ec.png?v=2.2.7!"
"1416",":pause_button:","double vertical bar","23f8","⏸",":double_vertical_bar:","!https://cdn.jsdelivr.net/emojione/assets/png/23f8.png?v=2.2.7!"
"1417",":stop_button:","black square for stop","23f9","⏹","","!https://cdn.jsdelivr.net/emojione/assets/png/23f9.png?v=2.2.7!"
"1418",":record_button:","black circle for record","23fa","⏺","","!https://cdn.jsdelivr.net/emojione/assets/png/23fa.png?v=2.2.7!"
"1419",":eject:","eject symbol","23cf","⏏",":eject_symbol:","!https://cdn.jsdelivr.net/emojione/assets/png/23cf.png?v=2.2.7!"
"1420",":cinema:","cinema","1f3a6","🎦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f3a6.png?v=2.2.7!"
"1421",":low_brightness:","low brightness symbol","1f505","🔅","","!https://cdn.jsdelivr.net/emojione/assets/png/1f505.png?v=2.2.7!"
"1422",":high_brightness:","high brightness symbol","1f506","🔆","","!https://cdn.jsdelivr.net/emojione/assets/png/1f506.png?v=2.2.7!"
"1423",":signal_strength:","antenna with bars","1f4f6","📶","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4f6.png?v=2.2.7!"
"1424",":vibration_mode:","vibration mode","1f4f3","📳","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4f3.png?v=2.2.7!"
"1425",":mobile_phone_off:","mobile phone off","1f4f4","📴","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4f4.png?v=2.2.7!"
"1426",":recycle:","black universal recycling symbol","267b","♻","","!https://cdn.jsdelivr.net/emojione/assets/png/267b.png?v=2.2.7!"
"1427",":name_badge:","name badge","1f4db","📛","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4db.png?v=2.2.7!"
"1428",":fleur-de-lis:","fleur-de-lis","269c","⚜","","!https://cdn.jsdelivr.net/emojione/assets/png/269c.png?v=2.2.7!"
"1429",":beginner:","japanese symbol for beginner","1f530","🔰","","!https://cdn.jsdelivr.net/emojione/assets/png/1f530.png?v=2.2.7!"
"1430",":trident:","trident emblem","1f531","🔱","","!https://cdn.jsdelivr.net/emojione/assets/png/1f531.png?v=2.2.7!"
"1431",":o:","heavy large circle","2b55","⭕","","!https://cdn.jsdelivr.net/emojione/assets/png/2b55.png?v=2.2.7!"
"1432",":white_check_mark:","white heavy check mark","2705","✅","","!https://cdn.jsdelivr.net/emojione/assets/png/2705.png?v=2.2.7!"
